iso3,year,sstran,deficit,debt,ln_population,ln_gdppc,inflation_cpi,dependency_ratio,KOFGI,KOFEcGI,KOFTrGI,KOFFiGI,KOFSoGI,KOFIpGI,KOFInGI,KOFCuGI,KOFPoGI
IRL,1997,10.3369231412958,1.37659054309093,71.7569572971427,15.116838086951185,4.7297091488881335,1.5418,52.31151187634572,79.87252807617188,84.95911407470703,83.45661163330078,86.46163940429688,77.73565673828125,77.06455993652344,69.04905700683594,87.74468231201172,76.8764419555664
IRL,1998,9.24844551962409,2.06807363619149,61.1066785663654,15.1272688553123,4.7783664335049645,2.407681,51.1260689188045,80.28463745117188,85.87126922607422,83.81283569335938,87.9297103881836,78.15662384033203,78.11546325683594,69.96031188964844,86.9616928100586,76.78030395507812
IRL,1999,8.12852374195086,3.53671697543933,50.4217088043567,15.138541850877248,4.842156419750643,1.629886,50.110600408499906,80.97833251953125,86.3963394165039,84.04093170166016,88.75174713134766,78.57453155517578,79.25537109375,71.16785430908203,85.76091766357422,77.9127426147461
IRL,2000,7.34511156602714,4.84766980946034,38.681051704501,15.151872277535919,4.885439486608769,5.577633,49.18559368250445,81.71428680419922,87.31053924560547,85.0702896118164,89.55078887939453,79.4146499633789,80.19093322753906,73.30293273925781,85.11520385742188,78.36853790283203
IRL,2001,7.87989606176598,0.959225840038657,35.5067534907479,15.167793792439848,4.914849395155524,4.852803,48.28963679376992,82.24971771240234,86.86672973632812,83.65250396728516,90.08097076416016,80.7450942993164,80.96809387207031,74.63719177246094,87.03448486328125,79.10506439208984
IRL,2002,8.28365770795892,-0.519571819686103,34.2003019325166,15.184645281012877,4.946098628956962,4.628205,47.56126577147961,82.65106201171875,86.83522033691406,82.67337799072266,90.99707794189453,82.57353210449219,82.75074005126953,77.34425354003906,87.97420501708984,78.54278564453125
IRL,2003,8.30255609952469,0.346884459263747,32.9474825376323,15.200934790632179,4.945566669812169,3.492219,47.15419314526121,82.575927734375,86.38246154785156,82.7141342163086,90.05079650878906,83.00471496582031,83.67224884033203,78.09927368164062,87.53461456298828,78.34984588623047
IRL,2004,8.52956879229613,1.29680753401934,31.4143090964269,15.219217928811268,4.967942815199192,2.178546,46.809691701458085,82.9083251953125,87.040771484375,82.031982421875,92.04954528808594,83.15869903564453,84.57072448730469,77.64250946044922,87.54627227783203,78.53094482421875
IRL,2005,8.87081612756844,1.57096948999718,31.3385064577217,15.241004958946831,4.979606838710047,2.456547,46.240453748402224,83.32205200195312,86.94689178466797,81.51216888427734,92.38162231445312,84.37431335449219,85.2724609375,79.43710327148438,88.69331359863281,78.66766357421875
IRL,2006,9.11926380620745,2.77235061551805,27.6298898262568,15.267965015382789,4.977935895407102,3.935761,45.469983817723715,82.91539001464844,85.85441589355469,79.03659057617188,92.67224884033203,84.87174224853516,85.78656768798828,80.62361907958984,88.43463897705078,78.06211853027344
IRL,2007,9.71941884020907,0.267786395977723,27.5318205466713,15.296874615429205,4.9803856522799945,4.885746,45.0913998816561,83.51531982421875,86.03687286376953,79.10897827148438,92.9647445678711,84.9484634399414,86.45319366455078,81.25822448730469,87.28474426269531,79.5914306640625
IRL,2008,11.6477213518652,-7.03774990223794,47.4166462103974,15.317261695540926,4.916401183122144,4.035688,45.55784631615328,81.78888702392578,84.22694396972656,78.94996643066406,89.50394439697266,82.80546569824219,86.27784729003906,82.43054962158203,79.4957504272461,78.35598754882812
IRL,2009,14.3389222985973,-13.8635059726641,67.4341204764861,15.32741832830016,4.89646026674284,-4.447547,46.67725070324875,82.52217864990234,84.36134338378906,79.63407897949219,89.08860778808594,83.0254135131836,85.47166442871094,82.94463348388672,80.48312377929688,80.19145202636719
IRL,2010,14.2710699064987,-32.1477158306612,83.4808208076008,15.33286717214095,4.884734750440279,-0.9183887,48.074864886278476,82.74525451660156,84.74769592285156,79.47029876708984,90.02507781982422,83.60009765625,85.32732391357422,83.14605712890625,82.224609375,79.90914154052734
IRL,2011,13.8123103998304,-13.4656064685357,111.613231041647,15.337227896533534,4.881877965566486,2.548978,49.41734827566408,82.54727935791016,84.46839141845703,78.44828033447266,90.48848724365234,83.85560607910156,85.58953094482422,83.7254867553711,82.11489868164062,79.35218811035156
IRL,2012,13.7266677842546,-8.40742778711317,129.799066735403,15.341465334566513,4.865998371289822,1.694741,50.53694780877772,82.95633697509766,84.66162109375,78.44738006591797,90.8758544921875,83.86883544921875,84.52802276611328,83.95211029052734,83.05903625488281,80.36389923095703
IRL,2013,12.8635570477407,-6.28617562163726,131.875098495848,15.34673089615507,4.871830225771068,0.5150995,51.39799874266555,82.7703628540039,84.6517105102539,78.16551971435547,91.13790893554688,83.1739730834961,84.19981384277344,83.15348815917969,82.0728530883789,80.49710083007812
IRL,2014,11.4416876445037,-3.52973928713184,123.341162495802,15.354040909920927,4.938969446245983,0.19091639999999999,52.046457378433594,83.07047271728516,85.34819030761719,78.9989013671875,91.69746398925781,83.43077087402344,84.00435638427734,83.18650817871094,83.06834411621094,80.44343566894531
IRL,2015,8.43749029795731,-1.97269030848738,89.7785248060747,15.363489362995674,5.130232209603398,-0.3309598,52.50467378231916,83.01226043701172,85.11274719238281,78.64032745361328,91.58513641357422,83.34977722167969,83.82197570800781,81.87268829345703,84.46177673339844,80.5850601196289
IRL,2016,8.22929652665533,-0.762310459653013,87.7316643635759,15.376329911503914,5.117981560844699,0.02012477,52.777436506090766,82.62735748291016,84.69989013671875,79.29702758789062,90.10274505615234,82.62909698486328,83.90774536132812,78.46712493896484,85.84309387207031,80.55316925048828
IRL,2017,7.44483078095175,-0.297315355908666,76.7978040215303,15.389827900159315,5.1787249280341685,0.3621731,52.94159765073911,82.9103775024414,84.40302276611328,78.4322280883789,90.37379455566406,83.50482940673828,83.2677230834961,78.97647857666016,88.88096618652344,80.8458023071289
IRL,2018,6.95075566576945,0.0938472708830069,74.6181949944209,15.4043420081134,5.221123335871953,0.4711307,53.02875602989327,82.836181640625,84.68275451660156,78.80329132080078,90.56221771240234,82.9995346069336,83.35970306396484,77.4061508178711,88.89996337890625,80.83235931396484
IRL,2019,6.61596316736188,0.409955910272895,69.0779153354305,15.420228549073858,5.242985380243996,0.937843,53.037168702209094,83.13127899169922,84.72136688232422,78.74987030029297,90.69287109375,83.28646087646484,82.55708312988281,77.8073959350586,90.29058074951172,81.39189147949219
IRL,2020,7.83933530769412,-4.87018433149804,71.3258548187856,15.43286644037487,5.34312050259737,-0.3261836,53.053557171269794,83.00840759277344,84.51681518554688,78.26359558105469,90.77001953125,83.1299819946289,81.01688385009766,79.17378997802734,89.9792709350586,81.383056640625
IRL,2021,6.52611758828939,-1.40268464531381,63.098229716397,15.446824437036392,5.424908778745635,2.340341,53.044823515530624,82.88949584960938,84.35309600830078,77.81141662597656,90.89473724365234,82.74024963378906,79.92564392089844,78.6880111694336,90.5010757446289,81.56945037841797
IRL,2022,5.42303388620071,1.65150420463632,45.3299413325746,15.466634603443364,5.450717715439447,7.829457,52.94664068672943,82.6899642944336,85.02762603759766,79.09703826904297,90.95823669433594,83.39353942871094,81.36137390136719,78.7259521484375,90.97631072998047,79.67604064941406
IRL,2023,5.7724866618365,1.47719329688398,46.2006802365922,15.485391993464479,5.395959302966408,6.299425,52.808810976723684,82.8726806640625,84.94100189208984,78.85562133789062,91.02639770507812,83.652587890625,81.79287719726562,78.87316131591797,91.16986083984375,80.05480194091797
ISL,1980,4.59144,2.18256388020049,26.83642139899746,12.337705987996605,4.920538901517594,58.52843,,53.775691986083984,43.5499382019043,61.628910064697266,25.47097396850586,69.51068878173828,68.84628295898438,55.501708984375,84.18406677246094,48.266448974609375
ISL,1981,4.6407,2.10111695513412,24.20889822324245,12.349111820602714,4.9373536676043805,51.79325,,54.488250732421875,44.766502380371094,61.71427536010742,27.8187255859375,70.12857055664062,69.3873062133789,56.824974060058594,84.17342376708984,48.56967544555664
ISL,1982,4.62837,2.57889769145579,31.31931979081312,12.362477924694309,4.951912483107292,50.24323,,55.322452545166016,46.3929328918457,62.658870697021484,30.127004623413086,70.29885864257812,69.32642364501953,57.3956413269043,84.17450714111328,49.27553939819336
ISL,1983,4.34482,-1.01710269323429,33.1325992163825,12.375718368994459,4.896166976187968,83.95004,,57.64573287963867,49.63201904296875,65.88067626953125,33.38335418701172,70.66008758544922,69.00944519042969,58.50392532348633,84.46688079833984,52.64508056640625
ISL,1984,4.61951,3.032710223934,34.93317119653791,12.38635462379719,4.887119867134587,30.8524,,57.93547439575195,49.85301971435547,65.71907043457031,33.98697280883789,71.6613540649414,70.19499969482422,60.14134979248047,84.64769744873047,52.292030334472656
ISL,1985,4.69814,-0.776555542303933,34.45029156945472,12.394231299941424,4.88303762207979,31.99462,,58.45108413696289,51.32345199584961,68.02780151367188,34.619110107421875,71.19075775146484,70.95111846923828,57.94599533081055,84.67514038085938,52.839054107666016
ISL,1986,4.55288,-2.67115680193822,32.06045359539845,12.40155718885041,4.914532430868089,22.1284,,58.197235107421875,49.73094177246094,66.98081970214844,32.4810676574707,71.85871887207031,72.42583465576172,58.310672760009766,84.83966064453125,53.00203323364258
ISL,1987,4.82608,0.00808735512806115,29.37385498495264,12.412513479857655,4.956800231800925,18.29777,,56.60068130493164,47.565399169921875,65.81153869628906,29.31928062438965,71.61650848388672,72.952880859375,58.46753692626953,83.42911529541016,50.62012481689453
ISL,1988,5.93038,-1.02476917825699,31.42011901142287,12.428175655669136,4.903858991499728,25.72551,,55.13569259643555,47.04661178588867,65.58380126953125,28.509431838989258,72.53821563720703,74.7963638305664,58.04300308227539,84.7752685546875,45.82223129272461
ISL,1989,5.77887,-3.26302537940573,36.35873486993484,12.440559616304808,4.866032769650991,20.7582,,54.3487548828125,48.65583038330078,66.827880859375,30.483776092529297,73.21818542480469,75.32147216796875,58.35650634765625,85.97659301757812,41.172264099121094
ISL,1990,6.99235,-2.29092021389959,36.22200221621213,12.448336238290661,4.847910837596901,15.51072,55.24255697636874,54.6108512878418,49.1392936706543,66.09326171875,32.18531036376953,73.67549896240234,76.16783905029297,58.87855911254883,85.98013305664062,41.017738342285156
