iso3,year,sstran,deficit,debt,ln_population,ln_gdppc,inflation_cpi,dependency_ratio,KOFGI,KOFEcGI,KOFSoGI,KOFPoGI,ln_gdppc_lag1,ln_gdppc_lag2,ln_gdppc_lag3,deficit_lag1,deficit_lag2,deficit_lag3
GRC,1982,13.01555,-6.538323599,29.63483146067417,16.096822268632003,4.570592964719802,20.99109,,57.53415298461914,44.73575973510742,59.699058532714844,68.21887969970703,4.581253365393276,4.6192307513118935,,-7.76070658,-2.337301227,
GRC,1983,13.37402,-6.748020095,33.95920169078894,16.102639517955264,4.532866909007352,20.17948,,58.434261322021484,45.65814971923828,60.06045913696289,69.62263488769531,4.570592964719802,4.581253365393276,4.6192307513118935,-6.538323599,-7.76070658,-2.337301227
GRC,1984,14.0072,-7.555769078,40.50292548614696,16.107621083717266,4.508617445524915,18.45683,,58.7296028137207,46.89072036743164,60.290287017822266,69.04474639892578,4.532866909007352,4.570592964719802,4.581253365393276,-6.748020095,-6.538323599,-7.76070658
GRC,1985,14.84719,-10.37320709,47.13257876271575,16.111503973508924,4.501008917612365,19.31469,,60.43534469604492,48.52399826049805,62.99176025390625,69.85079193115234,4.508617445524915,4.532866909007352,4.570592964719802,-7.555769078,-6.748020095,-6.538323599
GRC,1986,14.87947,-8.58791857,47.66007671879611,16.114811564243972,4.480992940877053,23.01544,,60.56510543823242,47.7834358215332,63.330894470214844,70.64628601074219,4.501008917612365,4.508617445524915,4.532866909007352,-10.37320709,-7.555769078,-6.748020095
GRC,1987,14.92507,-8.560954224,52.98759724441419,16.118155149188265,4.426258951429113,16.39687,,59.595855712890625,48.01681137084961,62.33559036254883,68.4998779296875,4.480992940877053,4.501008917612365,4.508617445524915,-8.58791857,-10.37320709,-7.555769078
GRC,1988,14.57133,-10.33987116,62.66346640260898,16.121787129061318,4.428432864289936,13.52886,,57.65519332885742,46.96968460083008,62.147735595703125,63.95425033569336,4.426258951429113,4.480992940877053,4.501008917612365,-8.560954224,-8.58791857,-10.37320709
GRC,1989,14.86142,-12.14489149,65.68556420938236,16.127005638862176,4.431440485262879,13.65556,,56.86214065551758,47.815162658691406,62.17595291137695,60.72071838378906,4.428432864289936,4.426258951429113,4.480992940877053,-10.33987116,-8.560954224,-8.58791857
GRC,1990,14.75358,-14.04010729,79.58162939896451,16.137583718981997,4.402720274214454,20.43349,49.34905799935262,57.202945709228516,47.078392028808594,64.10601806640625,60.586727142333984,4.431440485262879,4.428432864289936,4.426258951429113,-12.14489149,-10.33987116,-8.560954224
GRC,1991,14.58217,-9.8634605,82.18660611215749,16.149587244349263,4.418705405886147,19.45585,49.26377148827736,62.99171447753906,47.70884704589844,63.62534713745117,77.65568542480469,4.402720274214454,4.431440485262879,4.428432864289936,-14.04010729,-12.14489149,-10.33987116
GRC,1992,14.50903,-10.93276636,87.80665633047774,16.157226071573813,4.4040071582391755,15.87707,49.23355193717619,65.53943634033203,52.32758331298828,64.2094497680664,80.0506820678711,4.418705405886147,4.402720274214454,4.431440485262879,-9.8634605,-14.04010729,-12.14489149
