iso3,year,ln_population
ESP,2005,17.59178611713384
ESP,2006,17.60868964269645
ESP,2007,17.62720045578097
ESP,2008,17.643153760771607
ESP,2009,17.65201112057734
ESP,2010,17.65661520362785
ESP,2011,17.660168587592565
ESP,2012,17.66081784721818
ESP,2013,17.657201159418005
ESP,2014,17.654118062194566
ESP,2015,17.653290569816026
ESP,2016,17.65406222854216
ESP,2017,17.656493569407864
ESP,2018,17.661009306652936
ESP,2019,17.668176284407693
ESP,2020,17.673276386303904
ESP,2021,17.675056853255118
ESP,2022,17.68224540204672
ESP,2023,17.694029063915565
EST,1980,14.205671824049505
EST,1981,14.212719006814135
EST,1982,14.219917773367888
EST,1983,14.22678873738673
EST,1984,14.233310610219881
EST,1985,14.239981243782829
EST,1986,14.24741634340292
EST,1987,14.25519736649504
EST,1988,14.261413586845814
EST,1989,14.265395022321092
EST,1990,14.266059924227935
EST,1991,14.261038332375978
EST,1992,14.242796516822766
EST,1993,14.217053317042401
EST,1994,14.195667430691904
EST,1995,14.177813435334286
EST,1996,14.163059788959016
EST,1997,14.151650596556689
EST,1998,14.1420450065108
EST,1999,14.144989829269953
EST,2000,14.149826900887252
EST,2001,14.1434572696427
EST,2002,14.137122931678464
EST,2003,14.13084670719787
EST,2004,14.124868502093916
EST,2005,14.119145946847318
EST,2006,14.113249391248916
EST,2007,14.108687505898017
EST,2008,14.106006168702605
EST,2009,14.104078487928401
EST,2010,14.101797908243109
EST,2011,14.098762080006669
EST,2012,14.09518263589223
EST,2013,14.091623717865975
EST,2014,14.089001156114996
EST,2015,14.089656681410414
EST,2016,14.089947803665954
EST,2017,14.091158509980621
EST,2018,14.094638901360426
EST,2019,14.098354445250802
EST,2020,14.100330037102578
EST,2021,14.10139000666568
EST,2022,14.114755521780507
EST,2023,14.130530035141241
FIN,1980,15.379853819400871
FIN,1981,15.384118975849994
FIN,1982,15.38972183428941
FIN,1983,15.395681747497505
FIN,1984,15.401025176806241
FIN,1985,15.405195865851036
FIN,1986,15.408443814810106
FIN,1987,15.411280082128146
FIN,1988,15.41418697263827
FIN,1989,15.417797160628306
FIN,1990,15.422230981367449
FIN,1991,15.427692701549327
FIN,1992,15.433311800056789
FIN,1993,15.43815034094537
FIN,1994,15.442460829973669
FIN,1995,15.44627738330824
FIN,1996,15.449557762444515
FIN,1997,15.45253153574878
FIN,1998,15.455186265373142
FIN,1999,15.457507427864332
FIN,2000,15.459583493018465
FIN,2001,15.461860366437328
FIN,2002,15.464284176939662
FIN,2003,15.466668749340345
FIN,2004,15.469572252955532
FIN,2005,15.4729947388984
FIN,2006,15.476832510261453
FIN,2007,15.481086808582457
FIN,2008,15.485742301427535
FIN,2009,15.490524765362364
FIN,2010,15.495099710717023
FIN,2011,15.499735297792014
FIN,2012,15.504493392658846
FIN,2013,15.5091006303867
FIN,2014,15.513236232461892
FIN,2015,15.516530071320078
FIN,2016,15.519404285336954
FIN,2017,15.52175099065401
FIN,2018,15.523077401061927
FIN,2019,15.524179317966839
FIN,2020,15.525615729938966
FIN,2021,15.52768861588304
FIN,2022,15.530408061148101
FIN,2023,15.535399984901913
FRA,1980,17.827816522047936
FRA,1981,17.833754063157887
FRA,1982,17.837406086617417
FRA,1983,17.842794844318625
FRA,1984,17.847679760138366
FRA,1985,17.852678217940223
FRA,1986,17.857789632997846
FRA,1987,17.86322055354632
FRA,1988,17.869001632114646
FRA,1989,17.874971396682643
FRA,1990,17.880443679753213
FRA,1991,17.88546409628023
FRA,1992,17.890444344106477
FRA,1993,17.894793832951866
FRA,1994,17.898539050970328
FRA,1995,17.902180646604286
