iso3,year,dependency_ratio
DNK,2004,51.048390905887
DNK,2005,51.190554902280795
DNK,2006,51.32086740340871
DNK,2007,51.48188520361464
DNK,2008,51.749144176880876
DNK,2009,52.18902637622199
DNK,2010,52.78751191138481
DNK,2011,53.517631078032124
DNK,2012,54.23692954596485
DNK,2013,54.75767796177122
DNK,2014,55.09942376457868
DNK,2015,55.326865164618
DNK,2016,55.56316592216641
DNK,2017,55.88981620891958
DNK,2018,56.23146252784581
DNK,2019,56.59996434067689
DNK,2020,57.00376475998342
DNK,2021,57.287268469407216
DNK,2022,57.32428855380361
DNK,2023,57.39885116702913
ESP,1990,50.001748275632906
ESP,1991,49.10873701189755
ESP,1992,48.29567482365083
ESP,1993,47.57219651997226
ESP,1994,46.92785319336223
ESP,1995,46.372558076106046
ESP,1996,45.97556428053614
ESP,1997,45.764600080434114
ESP,1998,45.67442808488406
ESP,1999,45.641773652291974
ESP,2000,45.69551417350451
ESP,2001,45.922647988184565
ESP,2002,45.969741325132745
ESP,2003,45.6859025843891
ESP,2004,45.220684412581214
ESP,2005,45.03603129030045
ESP,2006,45.09378232330742
ESP,2007,44.984641697197446
ESP,2008,45.198817874421735
ESP,2009,45.84982782414535
ESP,2010,46.65770708294956
ESP,2011,47.44404223696865
ESP,2012,48.18443001130209
ESP,2013,49.08231305649919
ESP,2014,49.94056367209813
ESP,2015,50.463152001926034
ESP,2016,50.796879502624314
ESP,2017,51.087986425085404
ESP,2018,51.21278722931998
ESP,2019,51.1273134809275
ESP,2020,50.96418707316478
ESP,2021,50.878943744210325
ESP,2022,51.020695883890596
ESP,2023,51.31422284024322
EST,1990,51.22804954795633
EST,1991,51.36403825123897
EST,1992,51.572983052121
EST,1993,51.80910675004953
EST,1994,51.93814073129075
EST,1995,52.00369049369876
EST,1996,51.93037098411786
EST,1997,51.69170772735845
EST,1998,51.09158548854569
EST,1999,49.6332476232401
EST,2000,48.421687860632986
EST,2001,48.01634016199409
EST,2002,47.69671926647943
EST,2003,47.36278539230052
EST,2004,47.056334851151966
EST,2005,46.90510089339641
EST,2006,47.142067404338626
EST,2007,47.54738659737653
EST,2008,47.77479620165868
EST,2009,48.07855120996958
EST,2010,48.53614131222962
EST,2011,49.263767464087934
EST,2012,50.2723815864367
EST,2013,51.37107129157259
EST,2014,52.54790966037929
EST,2015,53.617178312462265
EST,2016,54.6487232979755
EST,2017,55.62496456045514
EST,2018,56.34614361151683
EST,2019,57.06354993276642
EST,2020,57.82449317787385
EST,2021,58.266236198562325
EST,2022,58.386193745053504
EST,2023,58.4343478723355
FIN,1990,48.592486506846704
FIN,1991,48.7791112079152
FIN,1992,48.95154724329894
FIN,1993,49.179965361265744
FIN,1994,49.4863944848771
FIN,1995,49.803133383328415
FIN,1996,49.99174610793866
FIN,1997,49.97875719060344
FIN,1998,49.74081912778082
FIN,1999,49.488400009955335
FIN,2000,49.410248794389375
FIN,2001,49.430606324983415
FIN,2002,49.509965562039646
FIN,2003,49.64105475848952
FIN,2004,49.85393451015035
FIN,2005,49.915227719235574
