iso3,year,ln_gdppc
CZE,1992,4.324079052169299
CZE,1993,4.316726183341207
CZE,1994,4.322009662575956
CZE,1995,4.364491666793497
CZE,1996,4.3822139046377675
CZE,1997,4.347941492870702
CZE,1998,4.322995029270266
CZE,1999,4.312410926407223
CZE,2000,4.319236251319353
CZE,2001,4.345946414007728
CZE,2002,4.3546510570870645
CZE,2003,4.3732477881149565
CZE,2004,4.393154675220008
CZE,2005,4.430676622352381
CZE,2006,4.4673411373696394
CZE,2007,4.496116503421536
CZE,2008,4.515032928520669
CZE,2009,4.501859811797803
CZE,2010,4.502307935953218
CZE,2011,4.507126194724185
CZE,2012,4.49071610446025
CZE,2013,4.479769081390126
CZE,2014,4.486259322072448
CZE,2015,4.514697319495692
CZE,2016,4.527193325482124
CZE,2017,4.555722366610873
CZE,2018,4.564972288345526
CZE,2019,4.5874467903907465
CZE,2020,4.581946890672216
CZE,2021,4.564055971692463
CZE,2022,4.542148306168426
CZE,2023,4.520918405080944
DEU,1980,4.884603087393501
DEU,1981,4.874976123165708
DEU,1982,4.879064629416331
DEU,1983,4.876314866455938
DEU,1984,4.868495803592155
DEU,1985,4.865240043392542
DEU,1986,4.865702835611227
DEU,1987,4.850787007020941
DEU,1988,4.845873679109289
DEU,1989,4.847907378056433
DEU,1990,4.8687282222418045
DEU,1991,4.904790142502884
DEU,1992,4.9037772577137755
DEU,1993,4.881742293195572
DEU,1994,4.882042460025249
DEU,1995,4.876601855467726
DEU,1996,4.860375222693903
DEU,1997,4.848776515278515
DEU,1998,4.848449728634359
DEU,1999,4.844361220902608
DEU,2000,4.838792435475562
DEU,2001,4.847526472999578
DEU,2002,4.835883629236739
DEU,2003,4.8171344978101365
DEU,2004,4.8039770109769
DEU,2005,4.7926344298030035
DEU,2006,4.808300473263761
DEU,2007,4.81979888461718
DEU,2008,4.834899340535728
DEU,2009,4.8232501710614555
DEU,2010,4.842355528289722
DEU,2011,4.864649870976725
DEU,2012,4.860202436816256
DEU,2013,4.851567633485159
DEU,2014,4.854567253974641
DEU,2015,4.844204409143199
DEU,2016,4.8473958070199945
DEU,2017,4.851683469418354
DEU,2018,4.844128179211783
DEU,2019,4.842261998444667
DEU,2020,4.845434465637919
DEU,2021,4.8278713114464145
DEU,2022,4.813664300363797
DEU,2023,4.785036330723644
DNK,1980,4.9525426487037585
DNK,1981,4.932191856353003
DNK,1982,4.978010582086169
DNK,1983,4.983949158926175
DNK,1984,4.98779258803986
DNK,1985,4.999597116952815
DNK,1986,5.022694930153404
DNK,1987,4.997294047447583
DNK,1988,4.963350977568944
