iso3,country,year,KOFGI,KOFEcGI,KOFTrGI,KOFFiGI,KOFSoGI,KOFIpGI,KOFIpGIdf,KOFIpGIdj,KOFInGI,KOFInGIdf,KOFInGIdj,KOFCuGI,KOFCuGIdf,KOFCuGIdj,KOFPoGI
CAN,Canada,1996,75.17779541015625,61.70216751098633,48.28600311279297,75.11833190917969,74.67013549804688,63.43828582763672,57.011722564697266,68.21805572509766,72.36402130126953,84.31736755371094,60.410667419433594,86.76903533935547,89.5245590209961,84.01351165771484,89.13941955566406
CAN,Canada,1997,77.73311614990234,67.49732208251953,57.189552307128906,77.80512237548828,75.8053207397461,63.79413604736328,56.907386779785156,68.92095184326172,73.56732177734375,84.23287200927734,62.901763916015625,88.51973724365234,89.77511596679688,87.26435089111328,89.81455993652344
CAN,Canada,1998,78.78964233398438,69.11279296875,58.98519515991211,79.24039459228516,77.4968490600586,64.60523223876953,57.29963302612305,70.05135345458984,75.90581512451172,84.51525115966797,67.29638671875,90.33888244628906,89.89713287353516,90.7806167602539,89.70445251464844
CAN,Canada,1999,79.36062622070312,70.24283599853516,60.900081634521484,79.58558654785156,78.26213836669922,65.0575180053711,57.782928466796875,70.48898315429688,77.12763214111328,84.77920532226562,69.47605895996094,90.92850494384766,90.13694763183594,91.72006225585938,89.53053283691406
CAN,Canada,2000,80.1095199584961,70.86145782470703,62.27602005004883,79.4468994140625,79.35989379882812,65.57218933105469,58.22646713256836,71.06869506835938,79.39002227783203,87.11775207519531,71.66228485107422,91.38200378417969,90.3584976196289,92.40550994873047,90.07567596435547
CAN,Canada,2001,79.83663177490234,69.74241638183594,60.73066329956055,78.75415802001953,79.37472534179688,66.0860595703125,59.24850845336914,71.21336364746094,79.85968017578125,87.62141418457031,72.09795379638672,90.51651763916016,90.27611541748047,90.75692749023438,90.37348937988281
CAN,Canada,2002,78.24095153808594,66.16993713378906,59.728004455566406,72.61185455322266,79.18218231201172,65.64507293701172,60.18057632446289,69.7527847290039,80.23324584960938,88.15811157226562,72.30839538574219,89.98760986328125,90.52357482910156,89.45164489746094,89.40968322753906
CAN,Canada,2003,78.9633560180664,67.78839874267578,59.47789764404297,76.09893035888672,79.37026977539062,66.31179809570312,61.473960876464844,69.95738983154297,80.56170654296875,89.00483703613281,72.11856842041016,89.62821960449219,91.03707122802734,88.21936798095703,89.74811553955078
CAN,Canada,2004,79.0999984741211,68.16154479980469,59.51102066040039,76.81207275390625,79.6800537109375,67.38251495361328,62.73283004760742,70.894775390625,80.79396057128906,88.95386505126953,72.6340560913086,89.35956573486328,91.84088134765625,86.87823486328125,89.48202514648438
CAN,Canada,2005,79.40288543701172,67.89173889160156,58.81806182861328,76.96542358398438,80.18280792236328,67.7407455444336,64.24011993408203,70.39036560058594,81.43079376220703,89.26701354980469,73.59456634521484,89.86454772949219,92.15209197998047,87.57701110839844,90.16568756103516
CAN,Canada,2006,79.4774169921875,67.71331024169922,57.16038513183594,78.26622772216797,80.61153411865234,68.24601745605469,64.9225845336914,70.7663345336914,81.98114776611328,90.20336151123047,73.7589340209961,90.11331939697266,92.1720199584961,88.05461120605469,90.15312194824219
CAN,Canada,2007,79.79021453857422,68.2010498046875,57.00096130371094,79.40113067626953,81.17545318603516,69.0235366821289,66.89063262939453,70.6437759399414,82.22190856933594,90.82763671875,73.61616516113281,90.82051849365234,92.16752624511719,89.47350311279297,90.04963684082031
CAN,Canada,2008,79.97606658935547,67.37244415283203,58.69602966308594,76.04885864257812,82.26863098144531,70.03401947021484,67.25019836425781,72.15229797363281,83.41658782958984,92.1280746459961,74.70510864257812,91.8928451538086,92.18994140625,91.59574127197266,90.37844848632812
CAN,Canada,2009,80.19348907470703,67.44525146484375,56.812652587890625,78.07783508300781,82.52091979980469,70.25489044189453,66.75615692138672,72.92066192626953,83.40629577636719,91.4145736694336,75.39801025390625,92.44149017333984,91.60382080078125,93.2791748046875,90.7066879272461
CAN,Canada,2010,80.295654296875,67.19805145263672,57.3143310546875,77.081787109375,83.09029388427734,70.65689086914062,67.93515014648438,72.73380279541016,83.89586639404297,92.06879425048828,75.72293853759766,93.24528503417969,91.58550262451172,94.90506744384766,90.70893859863281
CAN,Canada,2011,80.49774169921875,67.04480743408203,57.509063720703125,76.58052825927734,83.53960418701172,71.12263488769531,68.85477447509766,72.85626983642578,84.38743591308594,92.36060333251953,76.41426086425781,93.64630126953125,91.69011688232422,95.60249328613281,91.0282211303711
CAN,Canada,2012,79.88566589355469,67.34752655029297,57.971710205078125,76.72332763671875,81.58441925048828,71.95800018310547,69.41386413574219,73.90496826171875,84.67794036865234,92.6511001586914,76.70477294921875,86.98755645751953,77.68938446044922,96.28571319580078,90.79153442382812
CAN,Canada,2013,79.80572509765625,67.13306427001953,57.632904052734375,76.63321685791016,81.49497985839844,71.58451080322266,70.30316925048828,72.5655746459961,84.47441101074219,91.55077362060547,77.39804077148438,87.26478576660156,78.1173095703125,96.41226959228516,90.85508728027344
CAN,Canada,2014,80.6974105834961,69.1758804321289,58.977203369140625,79.37455749511719,81.9186019897461,71.98674774169922,70.5570068359375,73.081787109375,84.78396606445312,91.86885833740234,77.69906616210938,87.8226318359375,78.87174987792969,96.77350616455078,91.04542541503906
