iso3,year,sstran,deficit,debt
ISL,1996,6.613003564,-1.53043353417162,56.29575943637132
ISL,1997,6.413941348,0.0128057668779267,53.07603912704075
ISL,1998,5.65206332057818,-0.565309413281317,47.0825584213801
ISL,1999,5.45250241862531,1.3190669495389,42.975519707838
ISL,2000,5.39520252438012,1.44593423834869,40.0023358562132
ISL,2001,5.34354822270183,-0.280550354156069,44.3240023528647
ISL,2002,5.99143162757524,-2.27402317652608,40.3386430494948
ISL,2003,6.85136181885413,-2.32381999854895,39.4191977668991
ISL,2004,6.54229638908566,0.286478610886617,34.5222363659426
ISL,2005,5.99620833014955,5.00645609244744,26.320591735448
ISL,2006,5.43766720395328,6.44941539327854,31.2927450096558
ISL,2007,5.43476565676597,5.59867264352294,29.7020966781584
ISL,2008,5.64774033916538,-12.1383938728335,68.7872804608901
ISL,2009,7.52360720891164,-8.57947156648054,83.6281145266816
ISL,2010,7.19561385880469,-6.66349512461494,87.5327566629413
ISL,2011,7.8327003355216,-6.53001268334053,93.9831360831153
ISL,2012,7.30768054015148,-2.54738214373608,91.8922656868174
ISL,2013,6.77800014115293,-1.18098218337731,83.7394401328491
ISL,2014,6.68008427146662,0.361567582700483,76.1334663019424
ISL,2015,6.13034622234636,-0.296952920880221,68.6904481619775
ISL,2016,5.8810802563448,12.600526373099,62.8978003565505
ISL,2017,6.48622305390838,1.04205840365826,61.467325540652
ISL,2018,6.62750322061486,1.01587495892493,59.9917693846598
ISL,2019,7.3482382066549,-1.55120059961307,61.242571554938
ISL,2020,10.0568589156165,-8.82969054090527,70.2789030321247
ISL,2021,9.34138735194023,-8.28844880750669,76.9348932831674
ISL,2022,7.28794091026492,-3.9258281992415,77.4084590663136
ISL,2023,6.79651600333708,-1.91372568780828,77.0970372573021
ITA,1980,12.30683937,-6.69738333906651,83.9570405898983
ITA,1981,13.82738727,-10.4721814383732,88.1888094334762
ITA,1982,14.03675318,-9.64983813525903,91.8832370134723
ITA,1983,14.87727159,-9.72843525523214,76.8866162322881
ITA,1984,14.49308964,-11.0493545239564,79.6522582989601
ITA,1985,14.80441744,-11.9130864474075,85.9793063202292
ITA,1986,14.78115047,-11.4901097486976,89.7416123185633
ITA,1987,14.64002962,-11.0891877400387,93.3178102004691
ITA,1988,14.61308473,-10.6276039735162,95.5304898277042
ITA,1989,15.03514374,-10.9870410117945,92.3620788018438
ITA,1990,14.96654325,-11.0122006243152,94.3287689406872
ITA,1991,15.06697738,-10.956549831156,97.0384729051377
ITA,1992,16.0009773,-9.9892760237611,103.288898210661
ITA,1993,16.50712063,-9.65917225482124,112.343593787509
ITA,1994,16.73557319,-8.73652256879899,116.869980831571
ITA,1995,15.5578746495909,-7.19100357578535,118.411684072264
ITA,1996,15.8198737975848,-6.6129831776665,124.71315691198
ITA,1997,16.2331625957135,-2.98094976089928,126.415396267113
ITA,1998,15.9430375354609,-2.99147354981523,127.972862979854
ITA,1999,16.1712070411975,-1.77886354640597,122.474729633681
ITA,2000,15.7239535641138,-2.41824456509087,118.057039552957
ITA,2001,15.5207408458555,-3.1831179506364,117.038257292437
ITA,2002,15.8077812515515,-2.8825227967117,115.948069102569
ITA,2003,16.0331030894978,-3.22662973317823,113.646949231486
ITA,2004,16.0973000286409,-3.46887588627826,115.90638257895
ITA,2005,16.1596522544498,-4.09256361075484,118.248843720889
ITA,2006,16.1619197363463,-3.59709262302437,115.097817701981
ITA,2007,16.3041645123109,-1.32526877015206,110.707799406708
ITA,2008,16.8684570621204,-2.58365112674088,113.622739001112
ITA,2009,18.4095542042999,-5.05687333195497,126.379030336126
ITA,2010,18.4613849904759,-4.16366482154971,125.033316615762
ITA,2011,18.3712407583569,-3.52077763304434,118.475867104206
ITA,2012,19.0916949216378,-2.98393723632321,137.123270272793
ITA,2013,19.7363693575006,-2.87328595613363,144.466652613846
ITA,2014,19.9899661996514,-2.81507267585091,157.080835513717
ITA,2015,20.0161404196064,-2.4595473848322,157.753307914443
ITA,2016,19.7301040022895,-2.40224994415689,154.689520503973
ITA,2017,19.5703852064755,-2.50430386995541,151.545888520341
